Issue ID,Parent ID,Issue Type,Summary,Epic Name,Priority,Description,Acceptance Criteria,Labels,Depends On,Source
11,,Epic,Stability And Compatibility Requests,Stability And Compatibility Requests,Highest,"Address high-priority community requests around reliability, compatibility, diagnostics, and disaster state control.","High-priority community stability items are triaged, implemented or documented, and validated through release checks.","ndr;future-work;stability;compatibility",,"FutureWork.md"
12,11,Story,Improve Forest Fire Compatibility Diagnostics,,Highest,"As a player, I want clear diagnostics when forest fires are blocked or altered by other mods, so I understand why forest fires are not spawning.","Diagnostics distinguish enabled state, tree fire spreading availability, external mod conflicts, and weather/fog/rain blocking conditions; detected fire behavior mods show explanatory warning text; Allow tree fire spreading feasibility is documented; Force forest fire availability feasibility is documented or implemented.","ndr;future-work;stability;compatibility",,"FutureWork.md Forest Fire Compatibility Follow-Up"
13,11,Story,Split Disaster Destruction Settings By Target Type,,Highest,"As a player, I want separate destruction controls for buildings, roads, rail/metro, and terrain deformation, so I can control disaster damage predictably.","Road destruction behavior is verified; rail/metro destruction support is evaluated; terrain deformation side effects are investigated; destruction settings are split or infeasibility is documented; skipped destruction logs include cause when possible.","ndr;future-work;stability;compatibility",,"FutureWork.md Disaster Destruction Consistency"
14,11,Story,Redesign Emergency And Disaster State Controls,,Highest,"As a player, I want emergency stop, disable toggles, and reset state to be separate actions, so I can recover from disaster issues without confusing saved settings.","Reported re-enable issue is verified; controls separate disable mod disasters, disable vanilla disasters, emergency stop, and reset state/progress; reset disaster state clears cooldown/progress/active-disaster tracking without changing saved settings; tsunami stop limitations are documented.","ndr;future-work;stability","NDR-ARCH-001","FutureWork.md Emergency And Disaster State Controls"
15,11,Story,Verify Manual Spawn Intensity Reliability,,Highest,"As a player, I want manually spawned disasters to respect configured intensity rules, so manual testing and gameplay are predictable.","Manual spawn behavior is tested for all disaster types; logs include requested and final applied intensity; logs include configured and population-scaled caps when relevant; behavior above active cap is defined; follow-up implementation stories are created if defects are found.","ndr;future-work;stability",,"FutureWork.md Manual Spawn Intensity Reliability"
16,11,Story,Add Force Unlock All Disasters Action,,Medium,"As a player or tester, I want a force unlock action, so I can recover from unlock bugs or validate disaster behavior in new cities/scenarios.","Current unlock state is logged after level load; current milestone is logged after level load; Force unlock all disasters action exists in a suitable debug/settings area; new city, loaded city, and scenario unlock behavior is verified.","ndr;future-work;stability",,"FutureWork.md Unlock Disaster Controls"
17,11,Story,Expand Compatibility Monitor,,Medium,"As a player, I want compatibility warnings to explain impact and recommended action, so I can resolve mod conflicts.","Compatibility definitions include Ragnarok and Natural Disasters Overhaul or similar mods; 81 Tiles 2 compatibility is documented only if confirmed; dependency rows show mod name, impact, recommended action, and severity; rows distinguish info, warning, and conflict.","ndr;future-work;compatibility",,"FutureWork.md Compatibility Monitor Expansion"
18,11,Story,Audit Load And NullReference Safety,,Medium,"As a player, I want level load/unload paths to be robust, so the mod does not fail during new games, saves, scenarios, or unload-to-menu.","New game, load game, scenario, and unload-to-menu paths are verified; optional game panels/managers are guarded where needed; NullReference risks are fixed or logged as stories; 81 Tiles 2 is smoke-tested only if a reproducible issue/API interaction is identified.","ndr;future-work;stability;compatibility",,"FutureWork.md NullReference And Load-Safety Audit"
19,,Epic,Advanced Disaster Control,Advanced Disaster Control,Medium,"Add clearer advanced tuning while preserving stable defaults.","Advanced controls are introduced with safe defaults, clear tooltips, and migration handling.","ndr;future-work;advanced-control",,"FutureWork.md"
20,19,Story,Split Intensity Caps By Usage,,Medium,"As a player, I want separate random, manual, and absolute intensity caps, so generated and manually spawned disasters are controlled independently.","Design defines random/generated max, manual spawn max, and absolute safety cap; UI labels/tooltips explain each cap; defaults preserve 1.3.0 behavior; serialization migration is defined.","ndr;future-work;advanced-control",,"FutureWork.md Per-Disaster Intensity Caps"
21,19,Story,Add Behavior Profiles,,Medium,"As a player, I want behavior profiles, so I can quickly choose a simple, Ragnarok-like, full NDR, or custom experience.","Profiles are defined for Lite, Ragnarok, Full NDR, and Custom modes; each profile lists owned settings; switching previews impact or asks confirmation before overwriting custom settings.","ndr;future-work;advanced-control",,"FutureWork.md Behavior Profiles"
22,19,Story,Add Advanced Frequency Controls,,Medium,"As an advanced player, I want numeric frequency and cooldown controls, so I can tune disaster occurrence more precisely.","Per-disaster disasters-per-year controls are designed or implemented; cooldown overrides are designed or implemented; max active disasters setting is designed or implemented; overlapping disaster behavior is configurable or documented unsupported; Real Time estimates remain understandable.","ndr;future-work;advanced-control",,"FutureWork.md Advanced Frequency Control"
23,19,Story,Add Advanced Real Time Tuning,,Medium,"As a Real Time player, I want more precise Real Time tuning, so disaster recurrence feels balanced in slower timelines.","Existing per-disaster Real Time presets remain; optional numeric frequency scaling per disaster is designed or implemented; meteor period customization for Real Time is designed or implemented; UI shows expected recurrence in game-time and real-time terms.","ndr;future-work;advanced-control;compatibility",,"FutureWork.md Real Time Advanced Integration"
24,19,Story,Add Settings Presets,,Medium,"As a player, I want ready-made presets, so I can quickly apply a known disaster balance.","Presets are defined for Vanilla-like, Ragnarok-like, Safe coastal city, Apocalypse, and Real Time balanced; applying a preset previews or summarizes changes; custom settings are preserved unless replacement is confirmed.","ndr;future-work;advanced-control",,"FutureWork.md Presets System"
25,,Epic,Evacuation And Shelter Improvements,Evacuation And Shelter Improvements,Medium,"Improve evacuation clarity and shelter-related control without breaking current focused evacuation behavior.","Evacuation and shelter features are clearer, safer, and do not regress focused evacuation/release flows.","ndr;future-work;evacuation",,"FutureWork.md"
26,25,Story,Expand Evacuation Behavior Options,,Medium,"As a player, I want clearer evacuation behavior options, so I can choose between vanilla AI, nearest shelter behavior, warning-based evacuation, and auto release behavior.","Current evacuation modes are reviewed and documented; tsunami behavior is split into auto evacuate/release and auto evacuate only; focused evacuation/release remains intact; unsupported behavior is documented before implementation.","ndr;future-work;evacuation",,"FutureWork.md Evacuation Behavior Expansion; FutureWork.md Split Tsunami Evacuation Behavior"
27,25,Story,Evaluate Shelter Stock And Consumption Controls,,Low,"As a player, I want shelter stock and consumption options, so shelters remain useful during disaster-heavy games.","Feasibility of keeping shelters stocked is documented; feasibility of ignoring consumption is documented; risks to balance or save integrity are documented; implementation stories are created if feasible.","ndr;future-work;evacuation",,"FutureWork.md Shelter Improvements"
28,25,Story,Add Shelter Monitoring Panel,,Low,"As a player, I want a shelter monitoring panel, so I can see capacity, stock, evacuation state, and active disaster risks.","Panel lists capacity and stock/resource status where available; panel shows active evacuation state; panel shows disasters affecting each shelter; panel refreshes without embedding shelter calculations directly in UI.","ndr;future-work;evacuation","NDR-EVAC-002","FutureWork.md Shelter Improvements"
29,25,Story,Evaluate Alarm Customization,,Low,"As a player, I want disaster alarm controls, so I can adjust or disable alarm behavior.","Base-game API support for alarm volume is evaluated; enable/disable alarm setting feasibility is evaluated; custom alarm sound support and asset-loading constraints are documented; implementation stories are created if feasible.","ndr;future-work;evacuation",,"FutureWork.md Alarm Customization"
30,,Epic,UX Accessibility And Documentation,UX Accessibility And Documentation,Medium,"Reduce player confusion through clearer controls, startup guidance, and documentation.","User-facing controls and docs clearly explain setup, compatibility, reset actions, and common issues.","ndr;future-work;ux;documentation",,"FutureWork.md"
31,30,Story,Add Open Panel Action In Settings,,Low,"As a player, I want an Open panel button in settings, so I can find the in-game disaster panel easily.","Settings screen includes open/show panel action; action works if panel was hidden; action does not overwrite saved panel position.","ndr;future-work;ux",,"FutureWork.md UX Follow-Up"
32,30,Story,Add Optional Startup Notification,,Low,"As a new player, I want a small startup hint, so I know how to open the NDR panel.","Startup notification copy is defined; notification is optional or non-intrusive; default hotkey text reflects configured hotkey when possible.","ndr;future-work;ux",,"FutureWork.md UX Follow-Up"
33,30,Story,Clarify Reset Actions In UI,,Medium,"As a player, I want reset actions to use precise names, so I do not confuse settings reset, UI reset, and disaster-state reset.","UI distinguishes reset saved settings, reset defaults, reset panel/button position, and reset disaster state; tooltips explain impact; existing behavior remains unchanged unless separately planned.","ndr;future-work;ux",,"FutureWork.md UX Follow-Up"
34,30,Story,Add DLC And FAQ Documentation,,Low,"As a player, I want clear setup and compatibility documentation, so I can install and troubleshoot the mod.","DLC requirements are documented; FAQ includes Skyve visibility, Real Time compatibility, fire behavior conflicts, disaster overhaul conflicts, and why disasters may be too frequent or too rare.","ndr;future-work;documentation",,"FutureWork.md Documentation Follow-Up"
35,30,Story,Verify Scenario Support,,Low,"As a scenario player, I want NDR behavior to work predictably in scenarios, so scenario rules do not silently break disasters.","Scenario start behavior is verified; disaster settings and unlock logic are verified in scenarios; scenario restrictions are documented; separate setting is proposed only if scenario rules require it.","ndr;future-work;ux;stability",,"FutureWork.md Scenario Support"
36,,Epic,Future Gameplay Features,Future Gameplay Features,Low,"Track larger gameplay enhancements that should remain separate from the UI/core refactor.","Exploratory gameplay features are evaluated independently from structural refactor work.","ndr;future-work;feature",,"FutureWork.md"
37,36,Story,Add Reconstruction Helper Panel,,Medium,"As a player, I want a reconstruction helper panel, so I can find and repair disaster-damaged public/service assets faster.","Rebuildable buildings are scanned safely; listed buildings include name/type and district or position context; camera can move to selected building; quick rebuild is added only if game API allows it safely; disaster-damaged roads are detected and repair feasibility is evaluated.","ndr;future-work;feature",,"FutureWork.md Add Reconstruction Helper Panel"
38,36,Story,Evaluate Separate Nuclear Incident Event,,Low,"As a player, I want nuclear incidents evaluated as a distinct event, so reactor failures are not mixed into normal forest fires.","Valid reactor/power plant target detection is evaluated; trigger options are documented; contamination simulation feasibility is documented; tuning options are proposed; safe fallback behavior is defined when no valid reactor exists.","ndr;future-work;feature",,"FutureWork.md Evaluate Separate Nuclear Incident Event"
39,36,Story,Evaluate Populated-Area Meteor Targeting,,Low,"As a player, I want an optional meteor targeting mode near populated areas, so meteor strikes can feel more threatening without replacing vanilla/random targeting.","Vanilla/random targeting remains default; optional populated-area targeting is designed; offset targeting is evaluated; safe fallback is defined when no populated target exists; Real Time affects timing only, not target selection.","ndr;future-work;feature",,"FutureWork.md Evaluate Populated-Area Meteor Targeting"
40,36,Story,Evaluate Coastal Shelter Evacuation For Water Meteor Impacts,,Low,"As a coastal-city player, I want shelters near water meteor impacts to evacuate when appropriate, so water impacts have believable coastal risk.","Water impact detection is evaluated using terrain and water height; optional setting is disabled by default; coastal shelter inference is defined by water proximity/elevation; inland shelters are not evacuated unnecessarily; normal focused evacuation behavior remains unchanged for land impacts.","ndr;future-work;feature",,"FutureWork.md Evaluate Coastal Shelter Evacuation For Water Meteor Impacts"
